#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 10:31:07 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
42.961	473	42.986	674
43.011	506	43.037	709
43.062	538	43.088	738
43.112	566	43.138	760
43.163	588	43.189	773
43.214	604	43.239	777
43.265	612	43.290	773
43.315	613	43.341	760
43.366	607	43.392	740
43.416	593	43.442	713
43.468	572	43.493	679
43.518	547	43.543	642
43.569	516	43.595	602
43.619	483	43.645	562
43.670	448	43.696	525
43.721	414	43.746	490
43.772	383	43.797	462
43.822	356	43.848	439
43.873	333	43.899	427
43.923	317	43.949	423
43.974	310	44.000	427
44.025	309	44.050	440
44.076	316	44.101	462
44.126	331	44.152	489
44.177	352	44.203	524
44.227	378	44.253	560
44.279	409	44.304	599
44.329	443	44.354	638
44.380	476	44.406	674
44.430	511	44.456	707
44.481	542	44.507	734
44.532	569	44.557	754
44.583	591	44.608	767
44.633	606	44.659	769
44.684	613	44.710	766
44.734	614	44.760	753
44.786	607	44.811	733
44.836	592	44.861	706
44.887	570	44.912	674
44.937	543	44.963	637
44.988	513	45.014	599
45.038	479	45.064	561
45.090	444	45.115	525
45.140	411	45.165	492
45.191	380	45.217	465
45.241	352	45.267	445
45.292	330	45.318	434
45.343	315	45.368	429
45.394	308	45.419	434
45.444	308	45.470	448
45.495	317	45.521	468
45.545	333	45.571	495
45.597	354	45.622	528
45.647	382	45.672	564
45.698	414	45.723	601
45.748	447	45.774	638
45.799	482	45.825	673
45.849	515	45.875	704
45.901	546	45.926	731
45.951	572	45.976	750
46.002	594	46.028	759
46.052	608	46.078	764
46.103	614	46.129	759
46.154	614	46.179	747
46.205	606	46.230	727
46.255	590	46.281	701
46.306	568	46.332	669
46.356	540	46.382	634
46.408	509	46.433	597
46.458	474	46.483	560
46.509	440	46.534	526
46.559	407	46.585	495
46.610	375	46.636	469
46.660	348	46.686	451
46.712	327	46.737	440
46.762	314	46.787	436
46.813	308	46.839	442
46.863	309	46.889	454
46.914	318	46.940	473
46.965	335	46.990	500
47.016	358	47.041	532
47.066	386	47.092	566
47.117	417	47.143	603
47.167	451	47.193	638
47.219	486	47.244	672
47.269	520	47.294	702
47.320	551	47.346	727
47.370	577	47.396	745
47.421	597	47.447	754
47.471	610	47.497	758
47.523	615	47.548	752
47.573	613	47.598	741
47.624	604	47.650	720
47.674	587	47.700	695
47.725	564	47.751	665
47.776	536	47.801	631
47.827	503	47.852	596
47.877	470	47.903	560
47.928	434	47.954	527
47.978	401	48.004	497
48.030	371	48.055	473
48.080	345	48.105	455
48.131	325	48.157	446
48.181	312	48.207	442
48.232	308	48.258	447
48.282	309	48.308	460
48.334	320	48.359	479
48.384	338	48.409	505
48.435	362	48.461	535
48.485	390	48.511	568
48.536	424	48.562	603
48.587	457	48.612	638
48.638	492	48.663	670
48.688	525	48.714	699
48.739	555	48.765	722
48.789	580	48.815	740
48.841	600	48.866	749
48.891	611	48.916	752
48.942	615	48.968	747
48.992	612	49.018	735
49.043	602	49.069	716
49.093	584	49.119	691
49.145	560	49.170	662
49.195	531	49.220	629
49.246	498	49.272	596
49.296	464	49.322	561
49.347	429	49.373	530
49.399	396	49.423	501
49.449	367	49.474	477
49.500	341	49.525	460
49.550	322	49.576	451
49.601	312	49.626	448
49.652	308	49.677	453
49.703	312	49.727	464
49.753	324	49.779	483
49.804	342	49.829	508
49.854	366	49.880	537
49.906	396	49.930	569
49.956	429	49.981	604
50.007	463	50.031	637
50.057	497	50.083	667
50.108	530	50.133	695
50.158	559	50.184	718
50.210	584	50.234	735
50.260	601	50.285	744
50.311	612	50.336	747
50.361	614	50.387	742
50.412	610	50.437	730
