#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 11:06:45 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
25.118	477	25.143	551
25.168	510	25.194	516
25.219	543	25.245	485
25.269	572	25.295	458
25.321	596	25.346	439
25.371	614	25.396	427
25.422	623	25.448	423
25.472	627	25.498	427
25.523	622	25.549	440
25.574	610	25.599	460
25.625	591	25.650	487
25.675	566	25.700	518
25.726	537	25.752	552
25.776	504	25.802	588
25.827	471	25.853	623
25.878	437	25.903	656
25.929	407	25.954	684
25.979	380	26.005	708
26.030	359	26.056	723
26.080	344	26.106	730
26.132	338	26.157	731
26.182	338	26.207	723
26.233	346	26.259	707
26.283	362	26.309	684
26.334	383	26.360	655
26.385	410	26.410	623
26.436	441	26.461	588
26.486	473	26.512	552
26.537	507	26.563	517
26.587	539	26.613	485
26.638	567	26.664	460
26.689	591	26.714	441
26.740	609	26.765	428
26.790	619	26.816	424
26.841	623	26.867	427
26.891	619	26.917	439
26.943	608	26.968	459
26.993	590	27.018	485
27.044	566	27.070	517
27.094	538	27.120	551
27.145	506	27.171	586
27.196	473	27.221	622
27.247	441	27.272	654
27.297	411	27.323	683
27.348	385	27.374	706
27.398	363	27.424	722
27.449	349	27.475	730
27.500	342	27.525	730
27.551	342	27.576	722
27.601	349	27.627	706
27.652	363	27.678	685
27.702	384	27.728	656
27.754	410	27.779	624
27.804	439	27.829	589
27.855	471	27.881	554
27.905	502	27.931	519
27.956	534	27.982	487
28.007	562	28.032	461
28.058	586	28.083	441
28.108	604	28.134	430
28.159	615	28.185	425
28.209	619	28.235	428
28.260	616	28.286	440
28.311	606	28.336	459
28.362	588	28.387	484
28.412	566	28.438	516
28.463	539	28.489	549
28.513	508	28.539	585
28.565	476	28.590	620
28.615	445	28.640	653
28.666	415	28.692	682
28.716	389	28.742	705
28.767	368	28.793	720
28.818	353	28.843	729
28.869	346	28.894	730
28.919	345	28.945	723
28.970	352	28.996	708
29.020	366	29.046	685
29.072	386	29.097	658
29.122	410	29.147	626
29.173	438	29.198	591
29.223	469	29.249	556
29.274	500	29.300	521
29.324	531	29.350	490
29.376	558	29.401	463
29.426	582	29.451	443
29.477	599	29.503	430
29.527	610	29.553	425
29.578	615	29.604	428
29.629	612	29.654	440
29.680	603	29.705	459
29.730	587	29.756	483
29.781	565	29.807	514
29.831	538	29.857	547
29.883	509	29.908	583
29.933	478	29.958	618
29.984	448	30.009	651
30.034	419	30.060	680
30.085	393	30.111	704
30.135	372	30.161	720
30.187	358	30.212	728
30.237	350	30.262	729
30.288	349	30.314	723
30.338	355	30.364	709
30.389	368	30.415	687
30.440	387	30.465	659
30.491	410	30.516	628
30.541	437	30.567	593
30.592	467	30.618	558
30.642	497	30.668	523
30.694	527	30.719	492
30.744	554	30.769	465
30.795	577	30.820	445
30.845	595	30.871	431
30.896	606	30.922	425
30.946	611	30.972	427
30.998	609	31.023	440
31.048	600	31.073	457
31.099	585	31.125	481
31.149	564	31.175	512
31.200	539	31.226	545
31.251	510	31.276	580
31.302	480	31.327	615
31.352	451	31.378	649
31.403	422	31.429	678
31.453	397	31.479	701
31.505	376	31.530	718
31.555	362	31.580	727
31.606	354	31.632	729
31.656	353	31.682	722
31.707	358	31.733	709
31.757	371	31.783	688
31.809	388	31.834	661
31.859	411	31.884	630
31.910	437	31.936	596
31.960	467	31.986	561
32.011	496	32.037	526
32.062	524	32.087	495
32.113	551	32.138	467
32.163	573	32.189	446
32.214	591	32.240	432
32.264	602	32.290	426
32.316	607	32.341	428
32.366	606	32.391	438
32.417	597	32.443	456
32.467	583	32.493	480
