#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 10:31:07 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
47.674	376	47.700	668
47.725	401	47.751	636
47.776	430	47.801	600
47.827	461	47.852	562
47.877	492	47.902	527
47.928	522	47.954	494
47.978	548	48.004	466
48.029	570	48.055	444
48.080	587	48.105	430
48.131	596	48.156	424
48.181	599	48.207	426
48.232	595	48.258	437
48.282	583	48.308	455
48.334	566	48.359	480
48.384	543	48.409	511
48.435	516	48.461	545
48.485	486	48.511	582
48.536	456	48.562	618
48.587	425	48.612	652
48.638	398	48.663	682
48.688	372	48.713	707
48.739	352	48.765	725
48.789	340	48.815	735
48.840	335	48.866	737
48.891	335	48.916	731
48.942	343	48.967	718
48.992	358	49.018	697
49.043	377	49.069	669
49.093	402	49.119	638
49.145	430	49.170	603
49.195	460	49.220	567
49.246	490	49.272	531
49.296	520	49.322	497
49.347	546	49.373	468
49.398	567	49.423	447
49.449	583	49.474	432
49.499	592	49.524	426
49.550	596	49.576	427
49.600	592	49.626	437
49.651	581	49.677	454
49.702	565	49.727	480
49.753	543	49.778	509
49.803	516	49.829	543
49.854	487	49.880	578
49.904	457	49.930	615
49.956	428	49.981	648
50.006	400	50.031	679
50.057	376	50.083	704
50.107	357	50.133	722
50.158	343	50.184	733
50.209	337	50.234	735
50.260	338	50.285	731
50.310	345	50.336	717
50.361	360	50.387	697
50.411	379	50.437	670
50.462	403	50.488	639
50.513	430	50.538	605
50.564	460	50.589	569
50.615	489	50.640	534
50.665	518	50.691	502
50.716	543	50.741	472
50.767	565	50.792	450
50.818	581	50.842	435
50.868	590	50.894	428
50.919	594	50.944	429
50.969	590	50.995	438
51.021	580	51.045	454
51.071	563	51.096	478
51.122	542	51.147	508
51.172	516	51.198	541
51.223	488	51.248	576
51.273	459	51.299	611
51.325	430	51.349	645
51.375	402	51.400	675
51.426	378	51.451	701
51.476	360	51.502	719
51.527	347	51.552	730
51.578	340	51.603	734
51.629	340	51.653	729
51.679	348	51.705	717
51.730	361	51.755	698
51.780	380	51.806	672
51.832	403	51.856	641
51.882	430	51.907	607
51.933	459	51.958	572
51.983	488	52.009	537
52.034	516	52.059	505
52.084	542	52.110	476
52.136	562	52.160	454
52.186	579	52.211	438
52.237	588	52.262	431
52.287	592	52.313	430
52.338	588	52.363	439
52.389	578	52.414	455
52.440	563	52.464	478
52.490	541	52.516	506
52.541	516	52.566	539
52.591	488	52.617	572
52.643	460	52.667	608
52.693	432	52.718	642
52.744	404	52.769	672
52.794	381	52.820	697
52.845	362	52.870	716
52.896	350	52.921	727
52.947	343	52.971	731
52.997	342	53.022	728
53.048	350	53.073	716
53.098	363	53.124	698
53.149	381	53.174	672
53.200	404	53.225	643
53.251	430	53.275	610
53.301	459	53.327	575
53.352	487	53.377	542
53.402	515	53.428	508
53.454	540	53.478	480
53.504	561	53.529	457
53.555	576	53.580	442
53.605	586	53.631	433
53.656	590	53.682	433
53.707	587	53.732	440
53.758	577	53.783	455
53.808	561	53.833	477
53.859	541	53.885	506
53.909	516	53.935	537
53.960	489	53.986	571
54.011	461	54.036	605
54.062	433	54.087	638
54.112	406	54.138	669
54.163	383	54.189	694
54.213	365	54.239	713
54.265	352	54.290	724
54.315	345	54.340	729
54.366	345	54.392	726
54.416	352	54.442	715
54.467	365	54.493	697
54.518	382	54.543	673
54.569	405	54.594	643
54.619	431	54.644	612
54.670	459	54.696	578
54.720	486	54.746	545
54.771	513	54.797	512
54.822	538	54.847	484
54.873	559	54.898	461
54.923	574	54.949	445
54.974	583	55.000	437
55.024	587	55.050	435
55.076	585	55.101	442
55.126	575	55.151	456
55.177	560	55.203	478
55.227	540	55.253	504
55.278	516	55.304	535
55.329	489	55.354	567
55.380	462	55.405	602
55.430	434	55.456	634
55.481	408	55.507	664
55.531	386	55.557	690
55.582	367	55.608	709
55.633	354	55.658	721
55.684	349	55.709	726
55.734	348	55.760	725
55.785	354	55.811	714
55.835	366	55.861	698
55.887	384	55.912	674
55.937	406	55.962	646
55.988	431	56.014	614
56.038	458	56.064	581
56.089	485	56.115	548
56.140	512	56.165	516
56.191	536	56.216	488
56.241	557	56.267	465
56.292	572	56.318	449
56.342	581	56.368	440
56.393	585	56.419	437
56.444	582	56.469	444
56.495	574	56.520	457
56.545	559	56.571	477
56.596	540	56.622	502
56.646	517	56.672	533
56.698	490	56.723	566
56.748	463	56.773	599
56.799	436	56.825	632
56.849	410	56.875	661
56.900	388	56.926	686
56.951	370	56.976	705
57.002	357	57.027	718
57.052	351	57.078	723
57.103	350	57.129	722
57.153	356	57.179	712
57.204	368	57.230	697
57.255	384	57.280	675
57.306	406	57.331	647
57.356	431	57.382	616
57.407	458	57.433	584
57.457	484	57.483	551
57.509	510	57.534	520
57.559	535	57.584	492
57.610	555	57.636	469
57.660	570	57.686	452
57.711	579	57.737	443
57.762	583	57.787	440
