Source,CH1
Second,Volt
-4.37980000000,0.16368,
-4.37960000000,0.04464,
-4.37940000000,-0.07936,
-4.37920000000,-0.23808,
-4.37899950000,-0.34720,
-4.37880000000,-0.48608,
-4.37860000000,-0.51584,
-4.37840000000,-0.52576,
-4.37820000000,-0.47616,
-4.37800000000,-0.43152,
-4.37780000000,-0.36704,
-4.37759950000,-0.25296,
-4.37740000000,-0.17360,
-4.37720000000,-0.03472,
-4.37700000000,0.06944,
-4.37680000000,0.18848,
-4.37660000000,0.31744,
-4.37640000000,0.38192,
-4.37619950000,0.45632,
-4.37600000000,0.47616,
-4.37579950000,0.48608,
-4.37560000000,0.49600,
-4.37540000000,0.43648,
-4.37520000000,0.35712,
-4.37500000000,0.26288,
-4.37479950000,0.15872,
-4.37460000000,0.01488,
-4.37439950000,-0.12400,
-4.37420000000,-0.26288,
-4.37400000000,-0.37200,
-4.37380000000,-0.48608,
-4.37360000000,-0.51088,
-4.37339950000,-0.51584,
-4.37320000000,-0.47616,
-4.37299950000,-0.42160,
-4.37280000000,-0.36704,
-4.37260000000,-0.22816,
-4.37240000000,-0.13888,
-4.37220000000,-0.01984,
-4.37199950000,0.12400,
-4.37180000000,0.22320,
-4.37159950000,0.33232,
-4.37140000000,0.39184,
-4.37120000000,0.44640,
-4.37100000000,0.49600,
-4.37080000000,0.48608,
-4.37059950000,0.47120,
-4.37040000000,0.42160,
-4.37019950000,0.38192,
-4.37000000000,0.25296,
-4.36980000000,0.13392,
-4.36960000000,0.01488,
-4.36940000000,-0.14880,
-4.36920000000,-0.26784,
-4.36900000000,-0.38688,
-4.36879950000,-0.49104,
-4.36860000000,-0.51584,
-4.36840000000,-0.51088,
-4.36820000000,-0.47616,
-4.36800000000,-0.42160,
-4.36780000000,-0.34720,
-4.36760000000,-0.21328,
-4.36739950000,-0.13392,
-4.36720000000,0.00496,
-4.36700000000,0.13392,
-4.36680000000,0.21328,
-4.36660000000,0.35216,
-4.36640000000,0.39184,
-4.36620000000,0.46128,
-4.36599950000,0.49600,
-4.36580000000,0.48608,
-4.36560000000,0.50096,
-4.36540000000,0.40672,
-4.36520000000,0.35216,
-4.36500000000,0.23808,
-4.36480000000,0.13392,
-4.36459950000,-0.02480,
-4.36440000000,-0.17360,
-4.36420000000,-0.28768,
-4.36400000000,-0.41168,
-4.36380000000,-0.51088,
-4.36360000000,-0.52576,
-4.36340000000,-0.51088,
-4.36319950000,-0.47120,
-4.36300000000,-0.41168,
-4.36280000000,-0.33232,
-4.36260000000,-0.20336,
-4.36240000000,-0.10912,
-4.36220000000,0.01984,
-4.36200000000,0.14880,
-4.36179950000,0.23808,
-4.36160000000,0.35216,
-4.36140000000,0.39680,
-4.36120000000,0.47616,
-4.36100000000,0.49600,
-4.36080000000,0.48608,
-4.36060000000,0.47616,
-4.36039950000,0.40672,
-4.36020000000,0.32736,
-4.35999950000,0.20832,
-4.35980000000,0.10416,
-4.35960000000,-0.02480,
-4.35940000000,-0.19840,
-4.35920000000,-0.31744,
-4.35899950000,-0.43152,
-4.35880000000,-0.52576,
-4.35859950000,-0.52576,
-4.35840000000,-0.50096,
-4.35820000000,-0.45136,
-4.35800000000,-0.39680,
-4.35780000000,-0.30752,
-4.35759950000,-0.19840,
-4.35740000000,-0.08432,
-4.35719950000,0.05952,
-4.35700000000,0.16368,
-4.35680000000,0.26288,
-4.35660000000,0.36704,
-4.35640000000,0.42160,
-4.35619950000,0.47616,
-4.35600000000,0.48608,
-4.35579950000,0.48608,
-4.35560000000,0.46128,
-4.35540000000,0.39184,
-4.35520000000,0.30752,
