Source,CH1,CH2
Second,Volt,Volt
-0.011056,-3.36,0.028
-0.011054,-3.36,0.02
-0.011052,-3.36,0.024
-0.01105,-3.36,0.028
-0.011048,-3.36,0.02
-0.011046,-3.36,0.016
-0.011044,-3.36,0.02
-0.011042,-3.36,0.016
-0.01104,-3.36,0.012
-0.011038,-3.36,0.016
-0.011036,-3.36,0.02
-0.011034,-3.36,0.016
-0.011032,-3.36,0.016
-0.01103,-3.36,0.012
-0.011028,-3.36,0.02
-0.011026,-3.28,0.028
-0.011024,-3.36,0.016
-0.011022,-3.36,0.02
-0.01102,-3.28,0.028
-0.011018,-3.36,0.016
-0.011016,-3.28,0.012
-0.011014,-3.36,0.012
-0.011012,-3.36,0.016
-0.01101,-3.28,0.012
-0.011008,-3.36,0.008
-0.011006,-3.28,0.008
-0.011004,-3.28,0.012
-0.011002,-3.28,0.008
-0.011,-3.2,-0.008
-0.010998,-3.28,0.008
-0.010996,-3.28,0.008
-0.010994,-3.28,0.012
-0.010992,-3.28,0.008
-0.01099,-3.28,0.028
-0.010988,-3.28,0.012
-0.010986,-3.28,0.008
-0.010984,-3.28,0.008
-0.010982,-3.28,0.008
-0.01098,-3.28,0.016
-0.010978,-3.28,0.008
-0.010976,-3.2,0.012
-0.010974,-3.2,0.008
-0.010972,-3.2,0.016
-0.01097,-3.28,0.012
-0.010968,-3.28,0.004
-0.010966,-3.28,0.008
-0.010964,-3.2,0.008
-0.010962,-3.28,0.008
-0.01096,-3.2,-0.016
-0.010958,-3.2,0.004
-0.010956,-3.2,0.008
-0.010954,-3.2,0.004
-0.010952,-3.2,0.012
-0.01095,-3.2,0.02
-0.010948,-3.2,0.012
-0.010946,-3.2,0.004
-0.010944,-3.2,0
-0.010942,-3.2,0
-0.01094,-3.2,-0.004
-0.010938,-3.2,0
-0.010936,-3.2,-0.004
-0.010934,-3.12,-0.004
-0.010932,-3.12,-0.004
-0.01093,-3.2,-0.008
-0.010928,-3.12,-0.004
-0.010926,-3.2,-0.004
-0.010924,-3.12,-0.008
-0.010922,-3.12,-0.008
-0.01092,-3.12,-0.012
-0.010918,-3.2,-0.008
-0.010916,-3.12,-0.004
-0.010914,-3.12,-0.012
-0.010912,-3.12,-0.012
-0.01091,-3.12,-0.008
-0.010908,-3.12,-0.012
-0.010906,-3.12,-0.012
-0.010904,-3.12,-0.016
-0.010902,-3.12,-0.012
-0.0109,-3.12,-0.012
-0.010898,-3.04,-0.012
-0.010896,-3.12,-0.016
-0.010894,-3.12,-0.016
-0.010892,-3.12,-0.012
-0.01089,-3.04,-0.008
-0.010888,-3.12,-0.012
-0.010886,-3.04,-0.02
-0.010884,-3.04,-0.02
-0.010882,-3.04,-0.016
-0.01088,-3.04,-0.016
-0.010878,-3.04,-0.024
-0.010876,-3.04,-0.02
-0.010874,-3.04,-0.02
-0.010872,-3.04,-0.02
-0.01087,-3.04,-0.028
-0.010868,-3.04,-0.016
-0.010866,-3.04,-0.024
-0.010864,-3.04,-0.016
-0.010862,-3.04,-0.06
-0.01086,-2.96,-0.02
-0.010858,-2.96,-0.02
-0.010856,-2.96,-0.012
-0.010854,-2.96,-0.016
-0.010852,-2.96,-0.02
-0.01085,-3.04,-0.02
-0.010848,-2.96,-0.02
