Source,CH1,CH2
Second,Volt,Volt
-0.11182,-3.4128,-0.004
-0.1118,-3.4128,-0.012
-0.11178,-3.4128,-0.012
-0.11176,-3.4128,-0.016
-0.11174,-3.3264,-0.016
-0.11172,-3.3264,-0.028
-0.1117,-3.24,-0.032
-0.1116799875,-3.24,-0.036
-0.11166,-3.1536,-0.04
-0.11164,-3.1536,-0.04
-0.11162,-3.24,-0.048
-0.1116,-3.1536,-0.048
-0.11158,-3.1536,-0.056
-0.11156,-3.1104,-0.064
-0.11154,-3.024,-0.064
-0.11152,-3.1104,-0.072
-0.1115,-3.024,-0.072
-0.11148,-3.024,-0.08
-0.11146,-3.024,-0.08
-0.11144,-2.9376,-0.088
-0.11142,-2.9376,-0.092
-0.1114,-2.8512,-0.096
-0.11138,-2.8512,-0.084
-0.11136,-2.7648,-0.092
-0.11134,-2.7648,-0.096
-0.11132,-2.6784,-0.1
-0.1113,-2.6784,-0.104
-0.11128,-2.6784,-0.112
-0.11126,-2.592,-0.112
-0.11124,-2.592,-0.124
-0.11122,-2.592,-0.116
-0.1112,-2.592,-0.124
-0.11118,-2.5488,-0.124
-0.11116,-2.5488,-0.132
-0.11114,-2.4624,-0.132
-0.11112,-2.4624,-0.136
-0.1111,-2.4624,-0.14
-0.11108,-2.4624,-0.148
-0.1110599875,-2.376,-0.14
-0.11104,-2.2896,-0.144
-0.11102,-2.2896,-0.152
-0.111,-2.2896,-0.152
-0.11098,-2.2032,-0.152
-0.11096,-2.2032,-0.156
-0.11094,-2.2032,-0.16
-0.11092,-2.2032,-0.156
-0.1109,-2.1168,-0.16
-0.11088,-2.1168,-0.16
-0.11086,-2.0304,-0.168
-0.11084,-1.9872,-0.176
-0.11082,-1.9872,-0.172
-0.1108,-1.9008,-0.176
-0.11078,-1.9008,-0.168
-0.11076,-1.9008,-0.18
-0.11074,-1.9008,-0.172
-0.1107199875,-1.8144,-0.18
-0.1107,-1.8144,-0.192
-0.11068,-1.8144,-0.188
-0.11066,-1.728,-0.192
-0.11064,-1.728,-0.192
-0.11062,-1.6416,-0.196
-0.1106,-1.6416,-0.192
-0.11058,-1.6416,-0.208
-0.11056,-1.5552,-0.212
-0.11054,-1.512,-0.204
-0.11052,-1.512,-0.196
-0.1105,-1.512,-0.208
-0.11048,-1.4256,-0.204
-0.11046,-1.4256,-0.2
-0.11044,-1.4256,-0.212
-0.11042,-1.3392,-0.216
-0.1104,-1.3392,-0.22
-0.11038,-1.2528,-0.22
-0.11036,-1.2528,-0.22
-0.11034,-1.2528,-0.22
-0.11032,-1.2528,-0.22
-0.1103,-1.1664,-0.224
-0.11028,-1.1664,-0.22
