Source,CH1,CH2
Second,Volt,Volt
-0.008718,4.16,0.024
-0.008716,4.16,0.024
-0.008714,4.16,0.024
-0.008712,4.16,0.028
-0.00871,4.16,0.028
-0.008708,4.16,0.024
-0.008706,4.16,0.028
-0.008704,4.16,0.032
-0.008701999,4.16,0.032
-0.0087,4.16,0.028
-0.008697999,4.16,0.032
-0.008696,4.16,0.036
-0.008693999,4.16,0.04
-0.008692,4.16,0.04
-0.008689999,4.16,0.044
-0.008688,4.16,0.04
-0.008685999,4.16,0.032
-0.008684,4.16,0.04
-0.008681999,4.16,0.04
-0.00868,4.16,0.04
-0.008678001,4.16,0.04
-0.008676,4.16,0.032
-0.008674001,4.16,0.04
-0.008672,4.16,0.04
-0.008670001,4.16,0.04
-0.008668,4.16,0.04
-0.008666001,4.16,0.04
-0.008664,4.16,0.04
-0.008662,4.16,0.044
-0.00866,4.16,0.04
-0.008658,4.08,0.044
-0.008656,4.16,0.04
-0.008654,4.16,0.052
-0.008652,4.16,0.044
-0.00865,4.16,0.044
-0.008648,4.16,0.04
-0.008646,4.16,0.04
-0.008644,4.16,0.04
-0.008642,4.16,0.044
-0.008639999,4.16,0.04
-0.008638,4.16,0.048
-0.008635999,4.16,0.032
-0.008634,4.16,0.044
-0.008631999,4.16,0.048
-0.00863,4.16,0.044
-0.008627999,4.16,0.052
-0.008626,4.16,0.048
-0.008623999,4.16,0.048
-0.008622,4.16,0.052
-0.008619999,4.16,0.048
-0.008618,4.16,0.048
-0.008616001,4.24,0.052
-0.008614,4.16,0.036
-0.008612001,4.16,0.044
-0.00861,4.16,0.048
-0.008608001,4.16,0.044
-0.008606,4.16,0.04
-0.008604001,4.16,0.048
-0.008602,4.16,0.048
-0.0086,4.16,0.048
-0.008598,4.16,0.048
-0.008596,4.16,0.048
-0.008594,4.16,0.048
-0.008592,4.16,0.056
-0.00859,4.16,0.12
-0.008588,4.16,0.056
-0.008586,4.16,0.06
-0.008584,4.16,0.064
-0.008582,4.16,0.064
-0.00858,4.16,0.064
-0.008577999,4.08,0.06
-0.008576,4.16,0.064
-0.008573999,4.16,0.06
-0.008572,4.16,0.064
-0.008569999,4.16,0.064
-0.008568,4.16,0.064
-0.008565999,4.16,0.064
-0.008564,4.16,0.068
-0.008561999,4.16,0.068
-0.00856,4.16,0.072
-0.008558001,4.16,0.064
-0.008556,4.16,0.068
-0.008554001,4.16,0.068
-0.008552,4.16,0.068
-0.008550001,4.16,0.068
-0.008548,4.16,0.076
-0.008546001,4.16,0.076
-0.008544,4.16,0.072
-0.008542001,4.16,0.08
-0.00854,4.16,0.068
-0.008538,4.16,0.072
-0.008536,4.16,0.072
-0.008534,4.16,0.072
-0.008532,4.16,0.072
-0.00853,4.16,0.072
-0.008528,4.16,0.076
-0.008526,4.16,0.076
-0.008524,4.16,0.076
-0.008522,4.16,0.076
-0.008519999,4.16,0.072
-0.008518,4.16,0.076
-0.008515999,4.16,0.072
-0.008514,4.16,0.08
-0.008511999,4.16,0.08
-0.00851,4.16,0.08
-0.008507999,4.16,0.08
-0.008506,4.16,0.084
-0.008503999,4.16,0.08
-0.008502,4.16,0.076
-0.008499999,4.16,0.076
-0.008498,4.16,0.076
-0.008496001,4.16,0.076
-0.008494,4.16,0.076
-0.008492001,4.16,0.16
-0.00849,4.16,0.08
-0.008488001,4.16,0.076
-0.008486,4.16,0.08
-0.008484001,4.16,0.08
-0.008482,4.16,0.076
-0.00848,4.16,0.076
-0.008478,4.16,0.08
-0.008476,4.16,0.084
-0.008474,4.16,0.08
-0.008472,4.16,0.084
-0.00847,4.16,0.088
-0.008468,4.16,0.088
-0.008466,4.16,0.088
-0.008464,4.16,0.088
-0.008462,4.16,0.088
-0.00846,4.16,0.096
-0.008457999,4.24,0.088
-0.008456,4.16,0.088
-0.008453999,4.16,0.092
-0.008452,4.16,0.088
-0.008449999,4.16,0.092
-0.008448,4.16,0.092
-0.008445999,4.16,0.096
-0.008444,4.16,0.1
-0.008441999,4.16,0.092
-0.00844,4.16,0.092
-0.008437999,4.16,0.1
-0.008436,4.16,0.1
-0.008434001,4.16,0.104
-0.008432,4.16,0.1
-0.008430001,4.16,0.1
-0.008428,4.16,0.1
-0.008426001,4.16,0.1
-0.008424,4.16,0.096
-0.008422001,4.16,0.104
-0.00842,4.16,0.1
-0.008418,4.16,0.104
-0.008416,4.16,0.104
-0.008414,4.16,0.112
-0.008412,4.16,0.108
-0.00841,4.16,0.112
-0.008408,4.16,0.108
-0.008406,4.16,0.104
-0.008404,4.16,0.112
-0.008402,4.16,0.108
-0.0084,4.16,0.112
-0.008398,4.16,0.112
-0.008395999,4.16,0.112
-0.008394,4.16,0.136
-0.008391999,4.16,0.108
-0.00839,4.16,0.108
-0.008387999,4.16,0.108
-0.008386,4.16,0.108
-0.008383999,4.16,0.108
-0.008382,4.16,0.112
-0.008379999,4.16,0.116
-0.008378,4.16,0.116
-0.008375999,4.16,0.12
-0.008374,4.16,0.116
-0.008372001,4.16,0.116
-0.00837,4.16,0.112
-0.008368001,4.16,0.116
-0.008366,4.16,0.116
-0.008364001,4.16,0.12
-0.008362,4.16,0.116
-0.008360001,4.24,0.116
-0.008358,4.16,0.112
-0.008356,4.16,0.116
-0.008354,4.16,0.124
-0.008352,4.16,0.116
-0.00835,4.16,0.116
-0.008348,4.16,0.12
-0.008346,4.16,0.12
-0.008344,4.16,0.12
-0.008342,4.16,0.116
-0.00834,4.16,0.12
-0.008338,4.16,0.12
-0.008336,4.16,0.116
-0.008333999,4.16,0.12
-0.008332,4.16,0.116
-0.008329999,4.16,0.124
-0.008328,4.16,0.124
-0.008325999,4.16,0.12
-0.008324,4.16,0.12
-0.008321999,4.16,0.112
-0.00832,4.16,0.108
-0.008317999,4.16,0.112
-0.008316,4.16,0.12
-0.008314001,4.24,0.12
-0.008312,4.16,0.124
-0.008310001,4.16,0.124
-0.008308,4.16,0.124
-0.008306001,4.16,0.124
-0.008304,4.16,0.132
-0.008302001,4.16,0.136
-0.0083,4.16,0.136
-0.008298001,4.16,0.132
-0.008296,4.16,0.152
-0.008294,4.16,0.136
-0.008292,4.16,0.128
-0.00829,4.16,0.136
-0.008288,4.16,0.136
-0.008286,4.16,0.144
-0.008284,4.16,0.132
-0.008282,4.16,0.136
-0.00828,4.16,0.132
-0.008278,4.16,0.14
-0.008276,4.16,0.136
-0.008274,4.16,0.14
-0.008271999,4.16,0.148
-0.00827,4.16,0.148
-0.008267999,4.16,0.144
-0.008266,4.16,0.136
-0.008263999,4.16,0.144
-0.008262,4.16,0.144
-0.008259999,4.16,0.14
-0.008258,4.16,0.144
-0.008255999,4.16,0.14
-0.008254,4.16,0.14
-0.008252001,4.16,0.144
-0.00825,4.16,0.144
-0.008248001,4.16,0.144
-0.008246,4.16,0.148
-0.008244001,4.16,0.14
-0.008242,4.16,0.152
-0.008240001,4.16,0.148
-0.008238,4.16,0.152
-0.008236001,4.16,0.148
-0.008234,4.16,0.152
-0.008232,4.16,0.152
-0.00823,4.16,0.156
-0.008228,4.24,0.152
-0.008226,4.16,0.152
-0.008224,4.16,0.152
-0.008222,4.16,0.156
-0.00822,4.16,0.152
-0.008218,4.16,0.164
-0.008216,4.16,0.148
-0.008213999,4.16,0.152
-0.008212,4.24,0.148
-0.008209999,4.16,0.144
-0.008208,4.16,0.144
-0.008205999,4.16,0.148
-0.008204,4.16,0.144
-0.008201999,4.16,0.144
-0.0082,4.24,0.148
-0.008197999,4.16,0.14
-0.008196,4.16,0.156
-0.008193999,4.16,0.152
